id,category,name,nameEn,nameRu,nameEs,nameFr,nameDe,desc,descEn,descRu,descEs,descFr,descDe,brewing,brewingEn,brewingRu,brewingEs,brewingFr,brewingDe,price,images,sku_spec,sku_specEn,sku_specRu,sku_specEs,sku_specFr,sku_specDe,sku_price,sku_stock
lapsang,红茶,正山小种,Lapsang Souchong,Лапсанг Сушонг,Lapsang Souchong,Lapsang Souchong,Lapsang Souchong,"松烟香浓郁，桂圆汤味甜美。\n产地：福建武夷山桐木关。","Rich pine smoke aroma, sweet longan infusion.\nOrigin: Tongmuguan, Wuyi Mountain.","Насыщенный аромат соснового дыма, сладкий настой лонгана.\nПроисхождение: Тонгмугуань, гора Уи.","Rico aroma a humo de pino, infusión dulce de longan.\nOrigen: Tongmuguan, montaña Wuyi.","Riche arôme de fumée de pin, infusion sucrée de longane.\nOrigine : Tongmuguan, montagne Wuyi.","Reiches Kiefernraucharoma, süßer Longan-Aufguss.\nHerkunft: Tongmuguan, Wuyi-Berg.","水温：95℃\n器具：盖碗或紫砂壶\n冲泡时间：3-5秒出汤。","Water temp: 95°C\nTeaware: Gaiwan or Yixing\nSteep: 3-5 seconds.","Температура воды: 95°C\nПосуда: Гайвань или Исин\nЗаваривание: 3-5 секунд.","Temp. agua: 95°C\nUtensilios: Gaiwan o Yixing\nInfusión: 3-5 segundos.","Temp. eau : 95°C\nThéière : Gaiwan ou Yixing\nInfusion : 3-5 secondes.","Wassertemperatur: 95°C\nGefäß: Gaiwan oder Yixing\nZiehzeit: 3-5 Sekunden.",58,"https://placehold.co/600x600/d9cdbc/8b7a66?text=Lapsang+1,https://placehold.co/600x600/c9b9a4/8b7a66?text=Lapsang+2","50g 罐装|100g 罐装","50g Tin|100g Tin","50г банка|100г банка","Lata 50g|Lata 100g","Boîte 50g|Boîte 100g","50g Dose|100g Dose","58|108","In Stock|In Stock"
huangshanjinmiya-AA,红茶,梅占·荒山金针,Meizhan · Wild Mountain Golden Tips,Мэйчжань · Золотые Иглы с Диких Гор,Meizhan · Agujas Doradas de Montaña Salvaje,Meizhan · Aiguilles Dorées de Montagne Sauvage,Meizhan · Goldnadeln vom Wilden Berg,"产地：武夷山高山荒放茶园。口感：水柔滑，甜度高，茶汤厚实，耐泡。特点：纯芽头，干茶金黄细紧；花香明显，带野放茶的山场气息。","Origin: High-altitude wild tea gardens in Wuyi Mountain. Taste: Smooth and velvety, naturally sweet, full-bodied, highly infusable. Features: Pure buds, golden and tightly rolled; prominent floral aroma with a subtle wild mountain character.","Происхождение: Высокогорные дикие чайные сады в горах Уи. Вкус: Мягкий и бархатистый, естественно сладкий, насыщенный, выдерживает много заварок. Особенности: Чистые почки, золотистые и плотно скрученные; ярко выраженный цветочный аромат с тонким характером диких гор.","Origen: Jardines de té silvestres de gran altitud en la Montaña Wuyi. Sabor: Suave y aterciopelado, naturalmente dulce, con cuerpo, muy infusible. Características: Brotes puros, dorados y apretados; aroma floral prominente con un sutil carácter de montaña salvaje.","Origine : Jardins de thé sauvages de haute altitude dans la montagne Wuyi. Saveur : Douce et veloutée, naturellement sucrée, corsée, supportant de nombreuses infusions. Caractéristiques : Bourgeons purs, dorés et bien roulés ; arôme floral prononcé avec un subtil caractère de montagne sauvage.","Herkunft: Hochgelegene wilde Teegärten im Wuyi-Gebirge. Geschmack: Weich und samtig, von Natur aus süß, vollmundig, vielfach aufgießbar. Merkmale: Reine Knospen, goldfarben und fest gerollt; ausgeprägtes Blumenaroma mit einem subtilen wilden Bergcharakter.","器具顺手就好，热水烫杯后放入茶叶，直接冲水。沸水可泡，出汤快（5-6秒），浓淡自调。怎么泡着开心，就怎么泡。","Use whatever teaware you have at hand — a gaiwan, a glass cup, or a simple mug all work perfectly. Rinse your cup with hot water first, then add the tea leaves and pour water directly over them. Boiling water (around 100°C) is fine; the key is not the temperature but the steeping time. Pour out the tea liquor quickly after 5–6 seconds for a balanced sweetness. Prefer it stronger? Steep a few seconds longer. Prefer it lighter and more delicate? Use slightly cooler water (around 90°C) and pour even faster. There is no single ""correct"" way — the best method is the one that tastes right to you. Experiment freely. Tea is meant to be relaxing. Brew it however makes you happy.","Используйте любую посуду, которая у вас есть — гайвань, стеклянную чашку или простую кружку. Сначала ополосните чашку горячей водой, затем добавьте чайные листья и залейте водой. Кипяток (около 100°C) подходит; главное — не температура, а время заваривания. Слейте чайный настой быстро через 5–6 секунд для сбалансированной сладости. Любите покрепче? Заваривайте на несколько секунд дольше. Предпочитаете мягче и нежнее? Используйте чуть более прохладную воду (около 90°C) и сливайте еще быстрее. Нет единственного ""правильного"" способа — лучший тот, который нравится вам. Смело экспериментируйте. Чай создан для расслабления. Заваривайте так, как вам нравится.","Usa la tetera que tengas a mano — un gaiwan, una taza de vidrio o una taza simple, todas funcionan perfectamente. Enjuaga tu taza con agua caliente primero, luego agrega las hojas de té y vierte el agua directamente sobre ellas. El agua hirviendo (alrededor de 100°C) está bien; la clave no es la temperatura sino el tiempo de infusión. Vierte el licor de té rápidamente después de 5–6 segundos para un dulzor equilibrado. ¿Lo prefieres más fuerte? Infusiona unos segundos más. ¿Lo prefieres más ligero y delicado? Usa agua un poco más fría (alrededor de 90°C) y vierte aún más rápido. No hay una única forma ""correcta"" — el mejor método es el que te sepa bien. Experimenta libremente. El té está hecho para relajarse. Prepáralo como te haga feliz.","Utilisez la théière que vous avez sous la main — un gaiwan, une tasse en verre ou un simple mug, tout fonctionne parfaitement. Rincez d'abord votre tasse à l'eau chaude, puis ajoutez les feuilles de thé et versez l'eau directement dessus. L'eau bouillante (environ 100°C) convient ; la clé n'est pas la température mais le temps d'infusion. Versez la liqueur de thé rapidement après 5–6 secondes pour une douceur équilibrée. Vous le préférez plus fort ? Laissez infuser quelques secondes de plus. Vous le préférez plus léger et délicat ? Utilisez une eau légèrement plus froide (environ 90°C) et versez encore plus vite. Il n'y a pas de ""bonne"" façon unique — la meilleure méthode est celle qui vous plaît. Expérimentez librement. Le thé est fait pour se détendre. Préparez-le comme vous le rend heureux.","Verwenden Sie das Teegeschirr, das Sie zur Hand haben — ein Gaiwan, eine Glastasse oder ein einfacher Becher, alles funktioniert perfekt. Spülen Sie Ihre Tasse zuerst mit heißem Wasser aus, geben Sie dann die Teeblätter hinein und gießen Sie das Wasser direkt darüber. Kochendes Wasser (ca. 100°C) ist in Ordnung; der Schlüssel liegt nicht in der Temperatur, sondern in der Ziehzeit. Gießen Sie den Teeaufguss nach 5–6 Sekunden schnell ab, für eine ausgewogene Süße. Mögen Sie ihn kräftiger? Lassen Sie ihn ein paar Sekunden länger ziehen. Mögen Sie ihn leichter und feiner? Verwenden Sie etwas kühleres Wasser (ca. 90°C) und gießen Sie noch schneller ab. Es gibt keinen einzig ""richtigen"" Weg — die beste Methode ist die, die Ihnen schmeckt. Experimentieren Sie frei. Tee soll entspannen. Brühen Sie ihn so, wie es Ihnen Freude macht.",98,"images/茶叶/红茶/金骏眉/荒山金米芽金AA/1.jpg,images/茶叶/红茶/金骏眉/荒山金米芽金AA/2.jpg,images/茶叶/红茶/金骏眉/荒山金米芽金AA/3.jpg,images/茶叶/红茶/金骏眉/荒山金米芽金AA/4.jpg,images/茶叶/红茶/金骏眉/荒山金米芽金AA/5.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",98,
tongmumiya-A,红茶,梅占·桐木金芽,Meizhan · Tongmu Golden Buds,Мэйчжань · Золотые Почки Тунму,Meizhan · Brotes Dorados de Tongmu,Meizhan · Bourgeons Dorés de Tongmu,Meizhan · Goldknospen aus Tongmu,"产地：武夷山桐木关。口感：茶汤厚实，甜得自然，耐泡。特点：芽头肥壮，金色毫毛明显；花果香突出，桐木关产地特征明显。","Origin: Tongmuguan, Wuyi Mountain. Taste: Rich body, natural sweetness, long-lasting infusions. Features: Plump buds with visible golden down; pronounced floral-fruity fragrance, signature Tongmu character.","Происхождение: Тунмугуань, горы Уи. Вкус: Насыщенное тело, естественная сладость, долгие заварки. Особенности: Пухлые почки с видимым золотистым пухом; ярко выраженный цветочно-фруктовый аромат, характерный для Тунму.","Origen: Tongmuguan, Montaña Wuyi. Sabor: Cuerpo rico, dulzor natural, infusiones duraderas. Características: Brotes regordetes con pelusa dorada visible; fragancia floral-frutal pronunciada, carácter distintivo de Tongmu.","Origine : Tongmuguan, montagne Wuyi. Saveur : Corps riche, douceur naturelle, infusions durables. Caractéristiques : Bourgeons charnus au duvet doré visible ; parfum floral-fruité prononcé, caractère signature de Tongmu.","Herkunft: Tongmuguan, Wuyi-Gebirge. Geschmack: Reichhaltiger Körper, natürliche Süße, langanhaltende Aufgüsse. Merkmale: Pralle Knospen mit sichtbarem goldenem Flaum; ausgeprägtes blumig-fruchtiges Aroma, typischer Tongmu-Charakter.","同上","同上","同上","同上","同上","同上",87,"images/茶叶/红茶/金骏眉/1900c桐木米芽金A.金骏眉/1.jpg,images/茶叶/红茶/金骏眉/1900c桐木米芽金A.金骏眉/2.jpg,images/茶叶/红茶/金骏眉/1900c桐木米芽金A.金骏眉/3.jpg,images/茶叶/红茶/金骏眉/1900c桐木米芽金A.金骏眉/4.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",87,
zaochunguazijin,红茶,梅占·早春瓜子金,Meizhan · Early Spring Melon Seed,Мэйчжань · Ранний Весенний Семечко,Meizhan · Semilla de Melón de Primavera Temprana,Meizhan · Graine de Melon de Printemps Précoce,Meizhan · Frühes Frühlings-Melonenkern,"产地：武夷山高山区。口感：顺滑清爽，回甘来得快，不苦不涩。特点：叶片似小瓜子，采摘时间早，香气鲜灵。","Origin: High mountain area, Wuyi. Taste: Smooth and refreshing, quick returning sweetness, no bitterness or astringency. Features: Leaves shaped like small melon seeds — a distinctive Meizhan trait; early-picked, aroma is fresh and lively.","Происхождение: Высокогорный район, Уи. Вкус: Гладкий и освежающий, быстрое возвращающееся послевкусие, без горечи и терпкости. Особенности: Листья в форме маленьких семян дыни — отличительная черта Мэйчжань; ранний сбор, аромат свежий и живой.","Origen: área de alta montaña, Wuyi. Sabor: Suave y refrescante, dulzor de retorno rápido, sin amargor ni astringencia. Características: Hojas con forma de pequeñas semillas de melón — un rasgo distintivo de Meizhan; cosecha temprana, aroma fresco y vivo.","Origine : Zone de haute montagne, Wuyi. Saveur : Doux et rafraîchissant, retour sucré rapide, sans amertume ni astringence. Caractéristiques : Feuilles en forme de petites graines de melon — un trait distinctif du Meizhan ; cueillette précoce, arôme frais et vif.","Herkunft: Hochgebirgsregion, Wuyi. Geschmack: Weich und erfrischend, schnelle zurückkehrende Süße, keine Bitterkeit oder Adstringenz. Merkmale: Blätter in Form kleiner Melonenkerne — ein charakteristisches Merkmal von Meizhan; frühe Pflückung, Aroma frisch und lebendig.","同上","同上","同上","同上","同上","同上",83,"images/茶叶/红茶/金骏眉/1800C·早春瓜子金骏眉/1.jpg,images/茶叶/红茶/金骏眉/1800C·早春瓜子金骏眉/2.jpg,images/茶叶/红茶/金骏眉/1800C·早春瓜子金骏眉/3.jpg,images/茶叶/红茶/金骏眉/1800C·早春瓜子金骏眉/4.jpg,images/茶叶/红茶/金骏眉/1800C·早春瓜子金骏眉/5.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",83,
guazijin-5A,红茶,梅占·精品瓜子金,Meizhan · Premium Melon Seed,Мэйчжань · Премиум Семечко,Meizhan · Semilla de Melón Premium,Meizhan · Graine de Melon Premium,Meizhan · Premium Melonenkern,"产地：武夷山核心产区。口感：顺滑清爽，回甘来得快，耐泡。特点：瓜子形叶片完整，花香正，品质干净。","Origin: Core production area, Wuyi Mountain. Taste: Smooth and refreshing, quick returning sweetness, highly infusable. Features: Whole melon-seed-shaped leaves, clean floral aroma, excellent clarity.","Происхождение: Основной производственный район, горы Уи. Вкус: Гладкий и освежающий, быстрое возвращающееся послевкусие, выдерживает много заварок. Особенности: Цельные листья в форме семян дыни, чистый цветочный аромат, превосходная чистота.","Origen: área de producción principal, Montaña Wuyi. Sabor: Suave y refrescante, dulzor de retorno rápido, muy infusible. Características: Hojas enteras en forma de semilla de melón, aroma floral limpio, claridad excelente.","Origine : Zone de production principale, montagne Wuyi. Saveur : Doux et rafraîchissant, retour sucré rapide, supportant de nombreuses infusions. Caractéristiques : Feuilles entières en forme de graines de melon, arôme floral propre, excellente clarté.","Herkunft: Kernanbaugebiet, Wuyi-Gebirge. Geschmack: Weich und erfrischend, schnelle zurückkehrende Süße, vielfach aufgießbar. Merkmale: Ganze melonenkernförmige Blätter, sauberes Blumenaroma, ausgezeichnete Klarheit.","同上","同上","同上","同上","同上","同上",72,"images/茶叶/红茶/金骏眉/5A精品瓜子金/1.jpg,images/茶叶/红茶/金骏眉/5A精品瓜子金/2.jpg,images/茶叶/红茶/金骏眉/5A精品瓜子金/3.jpg,images/茶叶/红茶/金骏眉/5A精品瓜子金/4.jpg,images/茶叶/红茶/金骏眉/5A精品瓜子金/5.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",72,
meizhan-chunya,红茶,梅占·春芽,Meizhan · Spring Buds,Мэйчжань · Весенние Почки,Meizhan · Brotes de Primavera,Meizhan · Bourgeons de Printemps,Meizhan · Frühlingsknospen,"产地：武夷山高山区。口感：入口清甜，不苦不涩，适合日常喝。特点：一芽一叶为主，香气直接，性价比高。","Origin: High mountain area, Wuyi. Taste: Naturally sweet, no bitterness, perfect for daily drinking. Features: Mostly one bud with one leaf, direct and honest aroma, great value.","Происхождение: Высокогорный район, Уи. Вкус: Естественно сладкий, без горечи, идеален для ежедневного чаепития. Особенности: В основном одна почка с одним листом, прямой и честный аромат, отличное соотношение цены и качества.","Origen: área de alta montaña, Wuyi. Sabor: Naturalmente dulce, sin amargor, perfecto para beber a diario. Características: Principalmente un brote con una hoja, aroma directo y honesto, excelente relación calidad-precio.","Origine : Zone de haute montagne, Wuyi. Saveur : Naturellement sucré, sans amertume, parfait pour la consommation quotidienne. Caractéristiques : Principalement un bourgeon avec une feuille, arôme direct et honnête, excellent rapport qualité-prix.","Herkunft: Hochgebirgsregion, Wuyi. Geschmack: Natürlich süß, keine Bitterkeit, perfekt für den täglichen Genuss. Merkmale: Meist eine Knospe mit einem Blatt, direktes und ehrliches Aroma, ausgezeichnetes Preis-Leistungs-Verhältnis.","同上","同上","同上","同上","同上","同上",33,"images/茶叶/红茶/金骏眉/1300C早春梅占1-10/1.jpg,images/茶叶/红茶/金骏眉/1300C早春梅占1-10/2.jpg,images/茶叶/红茶/金骏眉/1300C早春梅占1-10/3.jpg,images/茶叶/红茶/金骏眉/1300C早春梅占1-10/4.jpg,images/茶叶/红茶/金骏眉/1300C早春梅占1-10/5.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",33,
meizhan-zhizijin,红茶,梅占·栀子金,Meizhan · Gardenia Gold,Мэйчжань · Гардениевое Золото,Meizhan · Gardenia Dorada,Meizhan · Gardénia Doré,Meizhan · Gardenien-Gold,"产地：武夷山生态茶园。口感：汤感清甜，水柔滑，耐泡。特点：有明显的栀子花香。","Origin: Eco-friendly tea gardens, Wuyi Mountain. Taste: Clean sweetness, soft and smooth, highly infusable. Features: Distinct gardenia flower fragrance — its most memorable signature.","Происхождение: Экологичные чайные сады, горы Уи. Вкус: Чистая сладость, мягкий и гладкий, выдерживает много заварок. Особенности: Отчетливый аромат цветов гардении — его самая запоминающаяся черта.","Origen: Jardines de té ecológicos, Montaña Wuyi. Sabor: Dulzor limpio, suave y sedoso, muy infusible. Características: Distinta fragancia a flor de gardenia — su firma más memorable.","Origine : Jardins de thé écologiques, montagne Wuyi. Saveur : Douceur nette, douce et soyeuse, supportant de nombreuses infusions. Caractéristiques : Parfum distinct de fleur de gardénia — sa signature la plus mémorable.","Herkunft: Ökologische Teegärten, Wuyi-Gebirge. Geschmack: Reine Süße, weich und geschmeidig, vielfach aufgießbar. Merkmale: Ausgeprägter Gardenienblütenduft — sein einprägsamstes Merkmal.","同上","同上","同上","同上","同上","同上",26,"images/茶叶/红茶/金骏眉/1300d栀子金梅占4-22/1.jpg,images/茶叶/红茶/金骏眉/1300d栀子金梅占4-22/2.jpg,images/茶叶/红茶/金骏眉/1300d栀子金梅占4-22/3.jpg,images/茶叶/红茶/金骏眉/1300d栀子金梅占4-22/4.jpg,images/茶叶/红茶/金骏眉/1300d栀子金梅占4-22/5.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",26,
meizhan-qinglu,红茶,梅占·清露,Meizhan · Pure Dew,Мэйчжань · Чистая Роса,Meizhan · Rocío Puro,Meizhan · Rosée Pure,Meizhan · Reiner Tau,"产地：武夷山高山区。口感：甜度高，茶汤干净，喝着顺口。特点：日常口粮茶，价格实在，怎么泡都不难喝。","Origin: High mountain area, Wuyi. Taste: High sweetness, clean tea liquor, easy to drink. Features: An honest daily tea, affordable and unfussy, hard to brew badly.","Происхождение: Высокогорный район, Уи. Вкус: Высокая сладость, чистый чайный настой, легко пьется. Особенности: Честный повседневный чай, доступный и неприхотливый, трудно испортить заварку.","Origen: área de alta montaña, Wuyi. Sabor: Alta dulzura, licor de té limpio, fácil de beber. Características: Un té diario honesto, asequible y sin complicaciones, difícil de preparar mal.","Origine : Zone de haute montagne, Wuyi. Saveur : Haute douceur, liqueur de thé propre, facile à boire. Caractéristiques : Un thé quotidien honnête, abordable et sans chichis, difficile à rater.","Herkunft: Hochgebirgsregion, Wuyi. Geschmack: Hohe Süße, sauberer Teeaufguss, leicht zu trinken. Merkmale: Ein ehrlicher Alltagstee, erschwinglich und unkompliziert, kaum falsch zu brühen.","同上","同上","同上","同上","同上","同上",12.5,"images/茶叶/红茶/金骏眉/730aE梅占H230金骏眉/1.jpg,images/茶叶/红茶/金骏眉/730aE梅占H230金骏眉/2.jpg,images/茶叶/红茶/金骏眉/730aE梅占H230金骏眉/3.jpg,images/茶叶/红茶/金骏眉/730aE梅占H230金骏眉/4.jpg,images/茶叶/红茶/金骏眉/730aE梅占H230金骏眉/5.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",12.5,
meizhan-touchunhuatiao,红茶,梅占·头春花条,Meizhan · First Spring Strips,Мэйчжань · Первые Весенние Полоски,Meizhan · Tiras de Primera Primavera,Meizhan · Lanières de Premier Printemps,Meizhan · Erste Frühlingsstreifen,"产地：武夷山高海拔茶区。口感：味浓，微带回甘，喝着过瘾。特点：头春采摘，干茶条索状；量大实惠，适合办公日常。","Origin: High-altitude tea area, Wuyi. Taste: Robust flavor, subtle returning sweetness, very satisfying. Features: First spring harvest, leaves in strip shape; generous portions, ideal for office daily drinking.","Происхождение: Высокогорный чайный район, Уи. Вкус: Насыщенный вкус, тонкое возвращающееся послевкусие, очень приятный. Особенности: Первый весенний сбор, листья в форме полосок; щедрые порции, идеально для офисного ежедневного чаепития.","Origen: área de té de gran altitud, Wuyi. Sabor: Sabor robusto, dulzor de retorno sutil, muy satisfactorio. Características: Primera cosecha de primavera, hojas en forma de tira; porciones generosas, ideal para beber a diario en la oficina.","Origine : Zone de thé de haute altitude, Wuyi. Saveur : Saveur robuste, retour sucré subtil, très satisfaisant. Caractéristiques : Première récolte de printemps, feuilles en forme de lanières ; portions généreuses, idéal pour le bureau au quotidien.","Herkunft: Hochgelegenes Teeanbaugebiet, Wuyi. Geschmack: Kräftiger Geschmack, subtile zurückkehrende Süße, sehr befriedigend. Merkmale: Erste Frühjahrsernte, Blätter in Streifenform; großzügige Portionen, ideal für den täglichen Bürogenuss.","同上","同上","同上","同上","同上","同上",3.7,"images/茶叶/红茶/金骏眉/金骏眉花条(头春)/1.jpg,images/茶叶/红茶/金骏眉/金骏眉花条(头春)/2.jpg,images/茶叶/红茶/金骏眉/金骏眉花条(头春)/3.jpg,images/茶叶/红茶/金骏眉/金骏眉花条(头春)/4.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",3.7,
huangya-zhenpinjinya,红茶,黄芽·珍品金芽,Huangya · Precious Golden Buds,Хуанъя · Драгоценные Золотые Почки,Huangya · Brotes Dorados Preciosos,Huangya · Bourgeons Dorés Précieux,Huangya · Kostbare Goldknospen,"产地：武夷山核心高山茶园。口感：水柔滑，甜度高，茶汤厚实。特点：全芽头，干茶金黄色，外形漂亮；黄芽系列最高等级。","Origin: Core high mountain tea gardens, Wuyi. Taste: Soft and smooth, high sweetness, full-bodied. Features: All-bud tea, golden yellow dry leaves, beautiful appearance; the highest grade in the Huangya series.","Происхождение: Основные высокогорные чайные сады, Уи. Вкус: Мягкий и гладкий, высокая сладость, насыщенное тело. Особенности: Чай из цельных почек, золотисто-желтые сухие листья, красивый внешний вид; высший сорт в серии Хуанъя.","Origen: Jardines de té principales de alta montaña, Wuyi. Sabor: Suave y sedoso, alta dulzura, con cuerpo. Características: Té de brotes completos, hojas secas de color amarillo dorado, hermosa apariencia; el grado más alto en la serie Huangya.","Origine : Jardins de thé principaux de haute montagne, Wuyi. Saveur : Doux et soyeux, haute douceur, corsé. Caractéristiques : Thé de bourgeons entiers, feuilles sèches jaune doré, belle apparence ; le grade le plus élevé de la série Huangya.","Herkunft: Hochgelegene Kern-Teegärten, Wuyi. Geschmack: Weich und geschmeidig, hohe Süße, vollmundig. Merkmale: Reiner Knospentee, goldgelbe trockene Blätter, schönes Aussehen; die höchste Qualitätsstufe der Huangya-Serie.","同上","同上","同上","同上","同上","同上",29,"images/茶叶/红茶/金骏眉/芽中芽6A-18001金骏眉/1.jpg,images/茶叶/红茶/金骏眉/芽中芽6A-18001金骏眉/2.jpg,images/茶叶/红茶/金骏眉/芽中芽6A-18001金骏眉/3.jpg,images/茶叶/红茶/金骏眉/芽中芽6A-18001金骏眉/4.jpg","50克袋装","50g Pouch","50г пакет","Bolsa 50g","Sachet 50g","50g Beutel",29,
